lumpy,x,y,region,country,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet,elevation,dominant_land_cover,X5_Ct_2010_Da,X5_Bf_2010_Da
1,35.14742,32.5347,Asia,Israel,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38,167,2,1945.913549,0.0
1,35.386941,32.83736,Asia,Israel,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38,167,2,1945.913549,0.0
1,35.60182,32.68543,Asia,Israel,56.2,8.2,1.21,1.6,87.2,7.7,11.8,15.9,10.0,13.09,159,2,558.6841025,0.0
1,35.52139,32.84946,Asia,Israel,56.2,8.2,1.21,1.6,87.2,7.7,11.8,15.9,10.0,13.09,159,2,558.6841025,0.0
1,35.386941,32.83736,Asia,Israel,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38,167,2,1945.913549,0.0
1,35.386941,32.83736,Asia,Israel,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38,167,2,1945.913549,0.0
1,35.59485,32.96377,Asia,Israel,56.2,8.2,1.21,1.6,87.2,7.7,11.8,15.9,10.0,13.09,159,2,558.6841025,0.0
1,35.10078,32.88721,Asia,Israel,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38,167,2,1945.913549,0.0
1,35.63843,32.75435,Asia,Israel,56.2,8.2,1.21,1.6,87.2,7.7,11.8,15.9,10.0,13.09,159,2,558.6841025,0.0
1,35.6,32.8,Asia,Israel,56.2,8.2,1.21,1.6,87.2,7.7,11.8,15.9,10.0,13.09,159,2,558.6841025,0.0
1,35.571879,32.905111,Asia,Israel,56.2,8.2,1.21,1.6,87.2,7.7,11.8,15.9,10.0,13.09,159,2,558.6841025,0.0
1,35.6,32.8,Asia,Israel,56.2,8.2,1.21,1.6,87.2,7.7,11.8,15.9,10.0,13.09,159,2,558.6841025,0.0
1,51.97163,56.704273,Europe,Russian Federation,66.1,6.2,31.0,0.1,48.0,-16.8,-13.7,-10.6,1.9,21.36,155,4,287.8432979,0.000276697
1,52.057739,53.277093,Europe,Russian Federation,65.5,7.3,31.0,0.2,37.3,-17.1,-13.4,-9.8,1.8,16.12,159,2,313.0785092,0.001298
1,71.765426,54.303234,Europe,Russian Federation,47.5,8.4,31.0,0.0,4.5,-25.2,-21.0,-16.8,1.2,2.45,153,2,273.1004233,0.014103236
1,72.288125,55.608657,Europe,Russian Federation,49.8,8.3,31.0,0.0,4.5,-26.0,-21.8,-17.7,1.0,3.51,153,2,191.1906738,0.000414864
1,48.42049,53.06498,Europe,Russian Federation,71.9,6.3,31.0,0.1,46.4,-14.8,-11.6,-8.5,2.3,18.35,154,2,191.9188095,0.000202869
1,49.0166,53.2418,Europe,Russian Federation,71.9,6.2,31.0,0.1,45.1,-15.0,-11.9,-8.8,2.2,18.77,151,2,0.0,0.001142567
1,50.769,53.569,Europe,Russian Federation,67.2,6.3,31.0,0.1,47.0,-16.1,-12.9,-9.8,2.0,18.65,144,2,224.6525478,0.001929675
1,43.47123,41.275959,Asia,Georgia,65.3,10.1,31.0,0.4,35.8,-15.0,-9.9,-4.9,2.2,8.96,200,2,693.2585781,0.018679905
1,48.682356,53.31121,Europe,Russian Federation,71.9,6.3,31.0,0.1,45.3,-14.6,-11.4,-8.3,2.3,18.45,160,2,541.0955888,0.090783198
1,52.0527,53.6039,Europe,Russian Federation,66.9,6.9,31.0,0.2,38.4,-17.1,-13.6,-10.2,1.8,17.0,149,2,223.9860321,0.001396443
1,63.242,56.924,Europe,Russian Federation,62.9,7.6,31.0,0.0,8.4,-20.8,-17.0,-13.2,1.5,3.69,156,4,66.68872963,0.000183841
1,71.599406,54.308897,Europe,Russian Federation,47.5,8.4,31.0,0.0,4.5,-25.2,-21.0,-16.8,1.2,2.45,153,2,273.1004233,0.014103236
1,72.579005,54.293137,Europe,Russian Federation,45.8,8.3,31.0,0.0,5.0,-25.7,-21.5,-17.4,1.0,3.9,155,3,255.1086888,0.008745306
1,73.552699,54.960695,Europe,Russian Federation,48.0,8.1,31.0,0.0,5.0,-25.7,-21.6,-17.6,1.0,2.71,153,2,268.8964691,0.003544422
1,51.795,53.928,Europe,Russian Federation,66.9,6.9,31.0,0.1,41.5,-17.0,-13.5,-10.1,1.9,17.74,152,2,223.7699429,0.002104975
1,63.7378,54.272,Europe,Russian Federation,41.7,8.9,31.0,0.0,4.4,-23.3,-18.8,-14.4,1.3,3.63,159,2,129.6842959,0.001487305
1,65.452267,55.51875,Europe,Russian Federation,46.0,8.2,31.0,0.0,6.1,-22.7,-18.6,-14.5,1.4,3.91,157,4,93.88023891,0.00022425
1,63.82546,54.43286,Europe,Russian Federation,41.7,8.9,31.0,0.0,4.4,-23.3,-18.8,-14.4,1.3,3.63,159,2,129.6842959,0.001487305
1,48.620115,53.367471,Europe,Russian Federation,71.9,6.3,31.0,0.1,45.3,-14.6,-11.4,-8.3,2.3,18.45,160,2,541.0955888,0.090783198
1,61.737598,55.391565,Europe,Russian Federation,52.9,8.1,31.0,0.1,6.7,-20.8,-16.7,-12.7,1.4,3.74,160,3,559.5466462,0.120827602
1,42.998808,41.637857,Asia,Georgia,66.4,9.8,30.78,0.5,62.8,-12.1,-7.2,-2.3,2.7,8.37,149,2,1620.225271,0.004158643
1,48.223867,52.720618,Europe,Russian Federation,72.2,6.3,31.0,0.1,48.5,-14.5,-11.3,-8.2,2.4,17.03,150,3,276.2739316,0.001188016
1,43.04024,41.63781,Asia,Georgia,68.9,9.6,30.84,0.4,37.8,-12.4,-7.6,-2.8,2.8,8.85,197,4,296.7153223,0.280069241
1,49.967458,53.578116,Europe,Russian Federation,71.3,6.2,31.0,0.1,47.1,-15.5,-12.4,-9.3,2.1,19.28,152,2,223.6049016,0.000343344
1,61.078315,54.968664,Europe,Russian Federation,51.6,8.2,31.0,0.1,6.3,-21.0,-16.9,-12.8,1.4,5.9,158,3,606.0038124,0.154632748
1,48.598902,52.848873,Europe,Russian Federation,71.0,6.5,31.0,0.1,43.2,-14.4,-11.1,-7.9,2.4,17.23,153,2,188.1844683,0.001018926
1,60.0987,54.013498,Europe,Russian Federation,56.3,8.5,31.0,0.1,7.0,-22.0,-17.7,-13.5,1.3,5.36,164,3,245.2306087,0.001185613
1,50.441284,53.011447,Europe,Russian Federation,71.2,6.2,31.0,0.1,44.6,-15.4,-12.3,-9.2,2.1,18.07,151,1,470.3342472,0.01592319
1,50.455518,53.173852,Europe,Russian Federation,71.2,6.2,31.0,0.1,44.6,-15.4,-12.3,-9.2,2.1,18.07,151,1,470.3342472,0.01592319
1,50.368106,53.155601,Europe,Russian Federation,71.2,6.2,31.0,0.1,44.6,-15.4,-12.3,-9.2,2.1,18.07,151,1,470.3342472,0.01592319
1,50.431088,53.098593,Europe,Russian Federation,71.2,6.2,31.0,0.1,44.6,-15.4,-12.3,-9.2,2.1,18.07,151,1,470.3342472,0.01592319
1,49.807109,53.052669,Europe,Russian Federation,71.9,6.3,31.0,0.1,44.3,-15.4,-12.2,-9.1,2.2,17.94,151,4,0.0,0.0
1,49.090837,53.378337,Europe,Russian Federation,71.9,6.2,31.0,0.1,45.1,-15.0,-11.9,-8.8,2.2,18.77,151,2,0.0,0.001142567
1,63.421231,54.671767,Europe,Russian Federation,38.0,8.7,31.0,0.0,5.3,-22.4,-18.0,-13.7,1.4,4.09,158,2,121.3357421,0.000543365
1,63.587311,54.676385,Europe,Russian Federation,38.3,8.7,31.0,0.1,5.1,-22.7,-18.3,-14.0,1.3,3.83,155,2,123.2178945,0.000314604
1,64.01455,54.652009,Europe,Russian Federation,46.3,8.7,31.0,0.1,4.6,-22.9,-18.5,-14.2,1.3,3.37,155,2,139.3843779,0.000764792
1,63.274788,54.358231,Europe,Russian Federation,44.1,8.8,31.0,0.1,4.5,-22.9,-18.5,-14.1,1.3,3.94,152,2,194.6554923,0.001484874
1,63.873514,54.656506,Europe,Russian Federation,38.3,8.7,31.0,0.1,5.1,-22.7,-18.3,-14.0,1.3,3.83,155,2,123.2178945,0.000314604
1,64.10991,54.342329,Europe,Russian Federation,39.3,8.7,31.0,0.0,4.2,-23.3,-18.9,-14.6,1.3,3.35,155,2,140.8923822,0.004954133
1,64.156846,54.77412,Europe,Russian Federation,46.3,8.7,31.0,0.1,4.6,-22.9,-18.5,-14.2,1.3,3.37,155,2,139.3843779,0.000764792
1,68.213566,55.074366,Europe,Russian Federation,42.8,8.5,31.0,0.0,3.7,-24.8,-20.5,-16.3,1.2,3.72,156,2,112.1626548,0.001854746
1,68.196559,55.111809,Europe,Russian Federation,42.8,8.5,31.0,0.0,3.7,-24.8,-20.5,-16.3,1.2,3.72,156,2,112.1626548,0.001854746
1,63.258643,54.6207,Europe,Russian Federation,38.0,8.7,31.0,0.0,5.3,-22.4,-18.0,-13.7,1.4,4.09,158,2,121.3357421,0.000543365
1,63.841314,54.68896,Europe,Russian Federation,38.3,8.7,31.0,0.1,5.1,-22.7,-18.3,-14.0,1.3,3.83,155,2,123.2178945,0.000314604
1,64.086675,54.626375,Europe,Russian Federation,46.3,8.7,31.0,0.1,4.6,-22.9,-18.5,-14.2,1.3,3.37,155,2,139.3843779,0.000764792
1,42.794891,41.698604,Asia,Georgia,66.4,9.8,30.78,0.5,62.8,-12.1,-7.2,-2.3,2.7,8.37,149,2,1620.225271,0.004158643
1,42.719268,41.668965,Asia,Georgia,66.4,9.8,30.78,0.5,62.8,-12.1,-7.2,-2.3,2.7,8.37,149,2,1620.225271,0.004158643
1,42.773602,41.674306,Asia,Georgia,66.4,9.8,30.78,0.5,62.8,-12.1,-7.2,-2.3,2.7,8.37,149,2,1620.225271,0.004158643
1,49.07513,52.850265,Europe,Russian Federation,70.9,6.5,31.0,0.1,41.2,-14.9,-11.6,-8.4,2.4,16.73,157,2,181.5863885,0.001444467
1,49.877967,52.997772,Europe,Russian Federation,70.8,6.5,31.0,0.1,41.0,-15.3,-12.0,-8.8,2.2,17.13,158,2,170.7139539,0.001472443
1,49.77079,53.039687,Europe,Russian Federation,71.9,6.3,31.0,0.1,44.3,-15.4,-12.2,-9.1,2.2,17.94,151,4,0.0,0.0
1,49.889646,53.118124,Europe,Russian Federation,71.9,6.3,31.0,0.1,44.3,-15.4,-12.2,-9.1,2.2,17.94,151,4,0.0,0.0
1,49.816844,52.849799,Europe,Russian Federation,70.8,6.5,31.0,0.1,41.0,-15.3,-12.0,-8.8,2.2,17.13,158,2,170.7139539,0.001472443
1,63.360682,54.354174,Europe,Russian Federation,44.1,8.8,31.0,0.1,4.5,-22.9,-18.5,-14.1,1.3,3.94,152,2,194.6554923,0.001484874
1,63.353109,54.303767,Europe,Russian Federation,44.1,8.8,31.0,0.1,4.5,-22.9,-18.5,-14.1,1.3,3.94,152,2,194.6554923,0.001484874
1,63.576414,54.291491,Europe,Russian Federation,41.7,8.9,31.0,0.0,4.4,-23.3,-18.8,-14.4,1.3,3.63,159,2,129.6842959,0.001487305
1,64.004208,54.336731,Europe,Russian Federation,39.3,8.7,31.0,0.0,4.2,-23.3,-18.9,-14.6,1.3,3.35,155,2,140.8923822,0.004954133
1,64.238059,54.361429,Europe,Russian Federation,39.3,8.7,31.0,0.0,4.2,-23.3,-18.9,-14.6,1.3,3.35,155,2,140.8923822,0.004954133
1,50.029927,53.22743,Europe,Russian Federation,71.2,6.2,31.0,0.1,44.6,-15.4,-12.3,-9.2,2.1,18.07,151,1,470.3342472,0.01592319
1,50.641825,53.109637,Europe,Russian Federation,70.7,6.4,31.0,0.2,43.1,-15.8,-12.6,-9.4,2.0,17.7,147,2,197.8194671,0.004234842
1,49.269036,53.152559,Europe,Russian Federation,71.9,6.2,31.0,0.1,45.1,-15.0,-11.9,-8.8,2.2,18.77,151,2,0.0,0.001142567
1,62.977607,54.567477,Europe,Russian Federation,39.2,8.7,31.0,0.0,5.2,-22.2,-17.8,-13.5,1.4,3.38,156,2,136.7594908,0.000595602
1,17.69,-17.67,Africa,Namibia,67.5,13.2,0.0,4.1,139.0,19.2,25.8,32.4,19.6,13.3,183,3,615.0518471,0.0
1,15.45,-17.71,Africa,Namibia,67.5,12.5,0.0,4.3,108.0,18.0,24.2,30.5,16.5,9.5,181,3,2229.486428,0.0
1,17.21,-17.56,Africa,Namibia,67.5,13.3,0.0,4.2,129.0,19.3,25.9,32.6,18.9,12.7,184,3,917.7234228,0.0
1,16.02,-17.95,Africa,Namibia,67.5,13.1,0.0,4.3,112.0,19.1,25.6,32.2,17.8,11.2,182,3,2046.742155,0.0
1,15.95,-17.48,Africa,Namibia,70.0,13.1,0.0,4.3,104.0,18.6,25.1,31.7,16.3,9.7,182,3,2020.265911,0.0
1,16.28,-17.51,Africa,Namibia,67.5,13.1,0.0,4.3,112.0,19.1,25.6,32.2,17.8,11.2,182,3,2046.742155,0.0
1,15.87,-17.48,Africa,Namibia,70.0,13.1,0.0,4.3,104.0,18.6,25.1,31.7,16.3,9.7,182,3,2020.265911,0.0
1,16.37,-18.17,Africa,Namibia,66.3,13.3,0.0,4.4,108.0,19.2,25.8,32.5,17.8,12.0,183,3,1855.0008,0.0
1,20.18,-17.89,Africa,Namibia,67.5,11.9,0.0,3.8,167.2,18.5,24.4,30.4,22.1,15.24,183,3,118.4295612,0.0
1,18.5,-18.07,Africa,Namibia,66.3,12.7,0.0,4.0,143.0,19.1,25.4,31.8,20.4,14.4,183,5,295.0583533,0.0
1,49.68818,52.980902,Europe,Russian Federation,70.8,6.5,31.0,0.1,41.0,-15.3,-12.0,-8.8,2.2,17.13,158,2,170.7139539,0.001472443
1,49.602486,52.950457,Europe,Russian Federation,70.8,6.5,31.0,0.1,41.0,-15.3,-12.0,-8.8,2.2,17.13,158,2,170.7139539,0.001472443
1,49.02,53.42,Europe,Russian Federation,71.9,6.2,31.0,0.1,45.1,-15.0,-11.9,-8.8,2.2,18.77,151,2,0.0,0.001142567
1,50.643142,53.233671,Europe,Russian Federation,70.7,6.4,31.0,0.2,43.1,-15.8,-12.6,-9.4,2.0,17.7,147,2,197.8194671,0.004234842
1,50.652361,53.079425,Europe,Russian Federation,70.7,6.4,31.0,0.2,43.1,-15.8,-12.6,-9.4,2.0,17.7,147,2,197.8194671,0.004234842
1,48.858764,53.507068,Europe,Russian Federation,71.2,6.0,31.0,0.1,45.9,-15.1,-12.1,-9.1,2.3,19.96,150,2,222.8317263,0.000149522
1,63.664276,54.568605,Europe,Russian Federation,38.3,8.7,31.0,0.1,5.1,-22.7,-18.3,-14.0,1.3,3.83,155,2,123.2178945,0.000314604
1,49.056908,53.394898,Europe,Russian Federation,71.9,6.2,31.0,0.1,45.1,-15.0,-11.9,-8.8,2.2,18.77,151,2,0.0,0.001142567
1,49.445011,53.087542,Europe,Russian Federation,71.9,6.2,31.0,0.1,45.1,-15.0,-11.9,-8.8,2.2,18.77,151,2,0.0,0.001142567
